record_id,stage,name,mechanism,source,line,default_history_verdict,experimental_route,experimental_status,next_test,route_note
868b02e69793,inductor-extension,apply_gumbel_max_trick,pattern-entry,torch/_inductor/fx_passes/apply_gumbel_max_trick.py,26,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
36d6df47f183,inductor-extension,b2b_gemm_pass,pattern-registry,torch/_inductor/fx_passes/b2b_gemm.py,36,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
2ff110dbacea,inductor-extension,b2b_gemm_handler,pattern-entry,torch/_inductor/fx_passes/b2b_gemm.py,605,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
46023421e6c2,inductor-extension,folded_op,pattern-entry,torch/_inductor/fx_passes/binary_folding.py,479,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
da5a11c73b39,inductor-extension,decompose_bmm,pattern-entry,torch/_inductor/fx_passes/decompose_mem_bound_mm.py,228,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
85bd306097c3,inductor-extension,decompose_addmm,pattern-entry,torch/_inductor/fx_passes/decompose_mem_bound_mm.py,247,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
fbe44b3816a8,inductor-extension,decompose_mm,pattern-entry,torch/_inductor/fx_passes/decompose_mem_bound_mm.py,271,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
bf2db909c45c,inductor-extension,efficient_conv_bn_eval_graph_transform_inlined,pattern-entry,torch/_inductor/fx_passes/efficient_conv_bn_eval.py,158,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
74031644bf83,inductor-extension,efficient_conv_bn_eval_graph_transform_decomposed,pattern-entry,torch/_inductor/fx_passes/efficient_conv_bn_eval.py,273,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
63e5dae81e60,inductor-extension,efficient_conv_bn_eval_graph_transform,pattern-entry,torch/_inductor/fx_passes/efficient_conv_bn_eval.py,373,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
8350be706e42,inductor-extension,binary_folding_pass,pattern-registry,torch/_inductor/fx_passes/freezing_patterns.py,34,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
8c7e5a563f11,inductor-extension,freezing_passes,extension-function,torch/_inductor/fx_passes/freezing_patterns.py,37,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
9558631518d1,inductor-extension,int8_woq_fusion_pattern,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,206,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
436b9907ab51,inductor-extension,matmul_fuse_pattern,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,229,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
2c96ebb4d30f,inductor-extension,matmul_fuse_pattern_two,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,252,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
056881a01639,inductor-extension,addmm_fuse_pattern_second,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,279,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
3bc3f34915da,inductor-extension,unnecessary_dtype_convert,pattern-entry,torch/_inductor/fx_passes/freezing_patterns.py,308,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
410927b10eeb,inductor-extension,_get_dedup_rs_pass,extension-function,torch/_inductor/fx_passes/fsdp.py,101,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
3f2572ddcd4e,inductor-extension,dedup_reduce_scatter,pattern-registry,torch/_inductor/fx_passes/fsdp.py,109,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
38ca57f55dd5,inductor-extension,_get_dedup_rs_pass._,pattern-entry,torch/_inductor/fx_passes/fsdp.py,152,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
cd2cb0b5fe95,inductor-extension,group_batch_fusion_passes,extension-function,torch/_inductor/fx_passes/group_batch_fusion.py,1679,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
d1fa741fe50e,inductor-extension,patterns,pattern-registry,torch/_inductor/fx_passes/micro_pipeline_tp.py,27,not-run,inherited-upstream-needs-dynamic-validation,not-run,reuse-base-test-design-with-experimental-backend,registered by upstream Inductor; effect may change under NPU lowering/codegen
