feature_id,name,layer,default_or_gate,source_anchor,priority,primary_risk_or_goal,availability_status,performance_status,verdict
TE-INFRA-001,backend selection and reload isolation,loader,npu_backend,torch_npu/_inductor/__init__.py:_load_backend,P0,availability/state isolation,entry-supported-state-isolation-failed,not-run,backend-switch-isolation-failed
TE-FX-001,int-float-int roundtrip elision,post-grad FX,elide_int_float_int=False (opt-in),fx_passes.py:25,P0,large integer value-domain correctness and output alias,installed-default-disabled-late-opt-in-verified,not-run-correctness-failed,correctness-failed-default-disabled-verified-installed-wheel
TE-FX-002,"Max(1,size) loop-merge fold",symbolic loop pass,fold_max1_in_loop_merge=True,fx_passes.py:396,P1,dynamic/empty shape and codegen performance,installed-dynamic-empty-and-negative-codegen-ten-worker-verified,three-to-one-axes-device-neutral-same-peak,verified-required-default-retained-no-product-change
TE-GATE-001,pad mm/bmm/addmm disable,upstream pass gate,disable_pad_mm=True,overrides.py:74,P2,disabled sentinel; default history already regressed,not-run,not-run,not-run
TE-GATE-002,add+mm to addmm disable,upstream pattern gate,disable_addmm_fusion=False (explicit True opts out),fx_passes.py:534,P0,P-018 dedicated wheel enables fusion by default with live opt-out; host tail monitored,installed-default-enabled-late-optout-verified-eleven-of-eleven,installed-two-cohort-p50-beneficial-device-p99-beneficial-host-tail-monitor,verified-installed-wheel-beneficial-host-tail-monitor
TE-GUARD-001,recursive dict tag guard disable,Dynamo guard policy,disable_recursive_dict_tag_guards=True,overrides.py:63,P1,training stability and guard overhead,upstream-default-false-deep-training-two-worker-verified,recursive-off-cpu-guard-p50-overhead-36.57-percent-safety-tradeoff,verified-upstream-default-false-safety-override-retained
TE-DEC-001,seq-first 3D-by-2D matmul fold,decomposition override,always active,decomposition.py:307,P1,P-026 retains exact seq-first stride contract and delegates regressed layouts,p026-clean-wheel-seq-first-and-delegated-layouts-verified,seq-first-p50-plus-5.53-percent-peak-minus-83.09-percent-broad-regressions-removed,verified-p026-seq-first-fold-retained-broad-scope-regressions-removed
TE-DEC-002,softmax backward no-FMA,decomposition override,always active,decomposition.py:342,P1,backward precision and codegen,not-run,not-run,not-run
TE-DEC-003,GELU forward/backward override,decomposition override,always active,decomposition.py:368,P0,P-017 dedicated wheel restores approximate contract,installed-verified-fp16-bf16-fp32,not-run-correctness-fix,upstream-contract-restored-verified-installed-wheel
TE-DEC-004,RMSNorm forward/backward override,decomposition override,always active,decomposition.py:398,P1,rank/dtype/backward reduction semantics,not-run,not-run,not-run
TE-DEC-005,native dropout forward/backward override,decomposition override,always active,decomposition.py:428,P1,"packed mask, p edge cases, training",not-run,not-run,not-run
TE-LOW-001,generate-list fallback policy,lowering registry,always active,lowering.py:51,P0,unsupported op fallback and graph coverage,registry-and-installed-fallback-generate-twelve-of-twelve-verified,mixed-beneficial-global-generate-expansion-rejected,fallback-policy-verified-global-expansion-rejected
TE-LOW-002,A5 CANN embedding/index-select,lowering+codegen,cann_index_select=True and A5,lowering.py:195,P2,not applicable on available 910B2,not-run,not-run,not-run
TE-LOW-003,strided slice input realization,lowering transform,realize_strided_slice_input=True,lowering.py:233,P1,copy cost versus gather speedup,not-run,not-run,not-run
TE-LOW-004,tail broadcast expand realization,lowering transform,realize_tail_bcast=True;tail_bcast_min_vec=8,lowering.py:338,P1,copy/alias and small-vector performance,not-run,not-run,not-run
TE-LOW-005,permute-gather realization,lowering transform,realize_permute_gather=True,lowering.py:400,P0,claimed 110x path; copy/alias/layout guards,installed-static-dynamic-three-dtype-six-of-six-verified,device-p50-p99-beneficial-host-tail-memory-compile-monitor,supported-beneficial-host-tail-memory-environment-monitor
TE-LOW-006,index_put dtype/fallback path,lowering transform,always active,lowering.py:314,P1,"dtype cast, accumulate, mutation semantics",not-run,not-run,not-run
TE-IR-001,safe symbolic stride ordering,IR monkeypatch,always active,ir.py:21,P1,symbolic divisibility and negative-power guards,not-run,not-run,not-run
TE-CG-001,outer reduction r-split,codegen transform,rsplit_outer=True,codegen/triton.py:4718,P0,"two-kernel correctness, workspace, provenance, speed",installed-default-hint-static-dynamic-three-dtype-nine-of-nine-verified,installed-device-p50-p99-beneficial-host-p99-tail-memory-compile-monitor,installed-wheel-verified-beneficial-device-host-p99-tail-monitor
TE-CG-002,int1 cast rewrite,codegen transform,rewrite_int1_cast_as_ne=True,codegen/triton.py:910,P1,packed-i1 OOB avoidance and bool semantics,not-run,not-run,not-run
TE-CG-003,extract-slice load/store,codegen transform,select_extract_slice=True;select_extract_slice_strided=True,codegen/triton.py:1791,P1,stride-k gather/store correctness and bandwidth,not-run,not-run,not-run
TE-CG-004,div/mod and dual-view index folds,codegen transform family,fold_fused_mod;fold_dualview_rnode;fold_dual_decomp;fold_flat_rnode;fold_transposed_xnode;expand_divmod,codegen/triton.py:2138,P1,index equivalence across dynamic/unaligned shapes,not-run,not-run,not-run
TE-CG-005,range-tree split/collapse/scalar odometer,codegen transform family,split_strided_pointwise;split_root_modulo;split_reduction_modulo;collapse_xtree;scalar_odometer_axes;scalar_odo_in_reduction,codegen/triton.py:2669,P0,wide correctness surface and compile/perf impact,static-contract-and-installed-npu-fourteen-of-fourteen-verified,defaults-retained-device-p99-host-tail-monitor,range-tree-contract-verified-defaults-retained-device-p99-host-tail-monitor
TE-CG-006,fusion limits and permuted-store guard,scheduler policy,no_fuse_permuted_store=True;max_fused_reads=24,codegen/triton.py:4887,P1,"kernel size, task count, compile time",not-run,not-run,not-run
TE-CG-007,reduction tiling and guard elision,codegen transform family,rtree_real_block=True;rtree_real_block_autotune=True;elide_reduction_where=True;flatten_small_outer_rnodes=False,codegen/triton.py:6284,P0,"reduction accuracy, padding lanes, OOB",installed-p021-p022-correctness-eighteen-of-eighteen-verified,rtree-retained-flatten-default-off-device-p50-regression,verified-with-p021-p022-keep-flatten-disabled
TE-CG-008,header tiling and odometer,header codegen family,reduce_xblock_by_input_stride;unify_block;pad_min_block_to_8;odometer_opt;tile_align=8,codegen/npu_header.py:253,P1,"UB use, dynamic tiling, steady performance",installed-on-off-correctness-ten-of-ten-verified,input-stride-odometer-retained-align-neutral-two-configs-ineffective,verified-active-defaults-retained-two-configs-ineffective-cleanup
TE-CG-009,group/all-block dispatch,launch/codegen policy,group_dispatch=True;all_blocks_parallel=True,npu_triton_heuristics.py:1390,P0,"grid coverage, >65535 blocks, tail work",installed-six-of-six-boundary-and-p023-gate-verified,group-retained-auto-size-one-best-dead-config-recorded,verified-group-retained-dead-config-recorded-p023-local-fix
TE-CG-010,int64 boundary downcast and dedup,launcher/codegen policy,int64_boundary_cast=True;dedup_downcast=True,npu_triton_heuristics.py:1415,P0,P-020 routes explicit int64 data overloads to NPU ATen; remaining ops and devices need separate coverage,installed-explicit-int64-data-overloads-eight-of-eight-verified,correct-baseline-fallback-cost-characterized-same-peak,installed-wheel-verified-correctness-restored-performance-characterized
TE-CG-011,zero-dim CPU scalar bridge,scheduler monkeypatch,always active,codegen/triton.py:7080,P1,CPU scalar/NPU pointer correctness,not-run,not-run,not-run
TE-CG-012,FP16/BF16 codegen upcast,codegen subconfig,npu_triton.codegen_upcast_to_fp32=True,codegen/triton.py:970,P1,precision/performance,not-run,not-run,not-run
