record_id,stage,name,mechanism,source,line,signals,static_status,test_unit,validation_group,priority,test_batch,applicability_status,trigger_case_status,trigger_case,observed_pass_status,correctness_status,codegen_status,fallback_status,performance_status,compile_first_ms,warmup,runs,mean_ms,stdev_ms,p50_ms,p99_ms,peak_memory_bytes,verdict,replacement_status,notes
868b02e69793,inductor-extension,apply_gumbel_max_trick,pattern-entry,torch/_inductor/fx_passes/apply_gumbel_max_trick.py,26,,generic-needs-validation,direct-case,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
36d6df47f183,inductor-extension,b2b_gemm_pass,pattern-registry,torch/_inductor/fx_passes/b2b_gemm.py,36,,generic-needs-validation,container-coverage,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
2ff110dbacea,inductor-extension,b2b_gemm_handler,pattern-entry,torch/_inductor/fx_passes/b2b_gemm.py,605,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
46023421e6c2,inductor-extension,folded_op,pattern-entry,torch/_inductor/fx_passes/binary_folding.py,479,,generic-needs-validation,direct-case,generic-npu,P2,B11_GENERIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
da5a11c73b39,inductor-extension,decompose_bmm,pattern-entry,torch/_inductor/fx_passes/decompose_mem_bound_mm.py,228,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
85bd306097c3,inductor-extension,decompose_addmm,pattern-entry,torch/_inductor/fx_passes/decompose_mem_bound_mm.py,247,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
fbe44b3816a8,inductor-extension,decompose_mm,pattern-entry,torch/_inductor/fx_passes/decompose_mem_bound_mm.py,271,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
bf2db909c45c,inductor-extension,efficient_conv_bn_eval_graph_transform_inlined,pattern-entry,torch/_inductor/fx_passes/efficient_conv_bn_eval.py,158,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B11_GENERIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
74031644bf83,inductor-extension,efficient_conv_bn_eval_graph_transform_decomposed,pattern-entry,torch/_inductor/fx_passes/efficient_conv_bn_eval.py,273,,generic-needs-validation,direct-case,generic-npu,P2,B11_GENERIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
63e5dae81e60,inductor-extension,efficient_conv_bn_eval_graph_transform,pattern-entry,torch/_inductor/fx_passes/efficient_conv_bn_eval.py,373,,generic-needs-validation,direct-case,generic-npu,P2,B11_GENERIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
